,Time,CO,CO_square,rh,rh_square,MOS,MOS_square,vocs
0,52980,0.548466175,0.300815145,36.76937228,1351.986738,0.698795617,0.488315314,368.1434
1,53010,0.546793277,0.298982888,36.69000021,1346.156115,0.700223577,0.490313058,308.45605
2,53040,0.546081746,0.298205273,36.64241982,1342.66693,0.701062523,0.491488661,317.14215
3,53070,0.546199546,0.298333944,36.61761392,1340.849649,0.701923115,0.49269606,315.01315
4,53100,0.546430315,0.29858609,36.41475493,1326.034376,0.702682715,0.493762999,326.4631
5,53130,0.5463646,0.298514276,35.91474318,1289.868778,0.703251333,0.494562438,321.4125
6,53160,0.547382231,0.299627307,35.54695821,1263.586238,0.704405077,0.496186512,298.2475
7,53190,0.548288485,0.300620262,36.05222112,1299.762648,0.704201938,0.49590037,308.3771
8,53220,0.551230792,0.303855386,36.73728617,1349.628195,0.705899077,0.498293507,289.6876
9,53250,0.554004823,0.306921344,36.84277694,1357.390213,0.7091058,0.502831036,289.40625
10,53280,0.554283875,0.307230614,36.74509805,1350.20223,0.71057035,0.504910222,285.60845
11,53310,0.554798085,0.307800915,36.64674308,1342.983778,0.711622631,0.506406769,293.6304
12,53340,0.553579362,0.30645011,36.55987801,1336.62468,0.711879846,0.506772915,303.82475
13,53370,0.550398458,0.302938463,36.49283544,1331.727038,0.7101029,0.504246129,286.03285
14,53400,0.550117808,0.302629602,36.41897654,1326.341852,0.709494031,0.50338178,301.68085
15,53430,0.549305315,0.30173633,36.22336806,1312.132394,0.707783669,0.500957722,301.82385
16,53460,0.54902085,0.301423894,36.26468295,1315.127229,0.70650655,0.499151505,297.1589
17,53490,0.548855792,0.301242681,36.34990057,1321.315271,0.706866623,0.499660423,285.48875
18,53520,0.549740408,0.302214516,36.46402945,1329.625444,0.707853415,0.501056458,274.2932
19,53550,0.550552915,0.303108513,36.52461478,1334.047485,0.710182738,0.504359522,274.71745
20,53580,0.550759654,0.303336196,36.52087429,1333.774259,0.7115397,0.506288745,280.39205
21,53610,0.548651067,0.301017993,36.4747382,1330.406527,0.711519567,0.506260094,279.5281
22,53640,0.548752431,0.30112923,36.38582813,1323.928489,0.709897862,0.503954974,276.9009
23,53670,0.546526469,0.298691182,36.06848501,1300.935611,0.707259654,0.500216218,290.1876
24,53700,0.544480815,0.296459358,35.82607157,1283.507404,0.718372646,0.516059259,289.9268
25,53730,0.545716354,0.297806339,35.91255731,1289.711773,0.756145469,0.571755971,284.24855
26,53760,0.549223975,0.301646975,36.50749792,1332.797405,0.756705758,0.572603605,287.991
27,53790,0.550305331,0.302835957,36.79472016,1353.851432,0.747020469,0.558039581,270.85335
28,53820,0.550354192,0.302889736,36.80067235,1354.289485,0.743385458,0.55262194,277.2845
29,53850,0.551646654,0.304314031,36.7895579,1353.471571,0.741735608,0.550171712,281.79065
