Time,CO,rh,MOS,vocs
6.13E-01,3.91E-01,9.32E-01,4.83E-01,1
6.14E-01,3.77E-01,9.15E-01,4.96E-01,0.815532062
6.14E-01,3.72E-01,9.05E-01,5.03E-01,0.842377063
6.14E-01,3.73E-01,8.99E-01,5.11E-01,0.835797239
6.15E-01,3.74E-01,8.56E-01,5.18E-01,0.871184112
6.15E-01,3.74E-01,7.50E-01,5.23E-01,0.855574878
6.15E-01,3.82E-01,6.71E-01,5.33E-01,0.783981823
6.16E-01,3.90E-01,7.79E-01,5.31E-01,0.815288061
6.16E-01,4.14E-01,9.25E-01,5.46E-01,0.757526852
6.17E-01,4.37E-01,9.47E-01,5.75E-01,0.75665732
6.17E-01,4.40E-01,9.26E-01,5.88E-01,0.744919953
6.17E-01,4.44E-01,9.05E-01,5.97E-01,0.769712351
6.18E-01,4.34E-01,8.87E-01,6.00E-01,0.801218705
6.18E-01,4.07E-01,8.73E-01,5.84E-01,0.746231591
6.18E-01,4.05E-01,8.57E-01,5.78E-01,0.794592831
6.19E-01,3.98E-01,8.15E-01,5.63E-01,0.795034783
6.19E-01,3.96E-01,8.24E-01,5.52E-01,0.780617428
6.19E-01,3.95E-01,8.42E-01,5.55E-01,0.744550011
6.20E-01,4.02E-01,8.67E-01,5.64E-01,0.70994938
6.20E-01,4.09E-01,8.79E-01,5.85E-01,0.711260554
6.20E-01,4.10E-01,8.79E-01,5.97E-01,0.728798303
6.21E-01,3.93E-01,8.69E-01,5.96E-01,0.726128205
6.21E-01,3.94E-01,8.50E-01,5.82E-01,0.718008659
6.21E-01,3.75E-01,7.82E-01,5.58E-01,0.759072137
6.22E-01,3.58E-01,7.31E-01,6.58E-01,0.758266116
6.22E-01,3.69E-01,7.49E-01,9.95E-01,0.740717086
6.22E-01,3.98E-01,8.76E-01,1.00E+00,0.75228339
6.23E-01,4.07E-01,9.37E-01,9.14E-01,0.699318282
6.23E-01,4.07E-01,9.38E-01,8.81E-01,0.719194202
6.23E-01,4.18E-01,9.36E-01,8.66E-01,0.733120774
6.24E-01,4.22E-01,9.30E-01,8.53E-01,0.783014629
6.24E-01,4.28E-01,8.96E-01,8.57E-01,0.710871451
6.25E-01,4.23E-01,7.35E-01,8.51E-01,0.683139148
6.25E-01,4.20E-01,6.28E-01,8.47E-01,0.666800231
6.25E-01,4.09E-01,5.30E-01,8.39E-01,0.681943097
6.26E-01,4.09E-01,6.63E-01,8.31E-01,0.655520268
