Time,CO,rh,MOS
52980,0.548466175,36.76937228,0.698795617
53010,0.546793277,36.69000021,0.700223577
53040,0.546081746,36.64241982,0.701062523
53070,0.546199546,36.61761392,0.701923115
53100,0.546430315,36.41475493,0.702682715
53130,0.5463646,35.91474318,0.703251333
53160,0.547382231,35.54695821,0.704405077
53190,0.548288485,36.05222112,0.704201938
53220,0.551230792,36.73728617,0.705899077
53250,0.554004823,36.84277694,0.7091058
53280,0.554283875,36.74509805,0.71057035
53310,0.554798085,36.64674308,0.711622631
53340,0.553579362,36.55987801,0.711879846
53370,0.550398458,36.49283544,0.7101029
53400,0.550117808,36.41897654,0.709494031
53430,0.549305315,36.22336806,0.707783669
53460,0.54902085,36.26468295,0.70650655
53490,0.548855792,36.34990057,0.706866623
53520,0.549740408,36.46402945,0.707853415
53550,0.550552915,36.52461478,0.710182738
53580,0.550759654,36.52087429,0.7115397
53610,0.548651067,36.4747382,0.711519567
53640,0.548752431,36.38582813,0.709897862
53670,0.546526469,36.06848501,0.707259654
53700,0.544480815,35.82607157,0.718372646
53730,0.545716354,35.91255731,0.756145469
53760,0.549223975,36.50749792,0.756705758
53790,0.550305331,36.79472016,0.747020469
53820,0.550354192,36.80067235,0.743385458
53850,0.551646654,36.7895579,0.741735608
53880,0.552149069,36.76115728,0.740253638
53910,0.5528678,36.60173733,0.740711577
53940,0.552242208,35.84566477,0.74001305
53970,0.551899054,35.34286273,0.739556523
54000,0.550608192,34.88186555,0.738686346
54030,0.550536077,35.50940602,0.737740431
54060,0.553497638,36.43399228,0.737860623
54090,0.557370215,36.98573615,0.741215185
54120,0.559122417,37.09118024,0.742175792
54150,0.558223585,36.97811511,0.742021654
54180,0.558802923,36.86580549,0.742969985
54210,0.559725977,36.78019533,0.743325754
54240,0.560002617,36.70261537,0.741949242
54270,0.557891854,36.48987699,0.739248838
54300,0.554817733,36.10693898,0.735753958
54330,0.553699538,35.70232088,0.732729592
54360,0.553682731,35.66375849,0.731161085
54390,0.554711538,36.19636289,0.730436331
54420,0.5551731,36.41441251,0.728564938
54450,0.553583367,36.38470868,0.729023483
54480,0.553293308,36.32862927,0.729033669
54510,0.552437508,36.27236665,0.7279712
54540,0.551829354,36.18676042,0.725913485
54570,0.549680292,35.87713735,0.724502438
54600,0.549476583,35.55264022,0.724644558
54630,0.550026438,35.36550406,0.725364231
54660,0.549072154,35.77868816,0.724512062
54690,0.552335967,36.28632081,0.725389358
54720,0.5531755,36.3385386,0.727451954
54750,0.553406277,36.26952942,0.729069746
54780,0.554510433,36.19327058,0.729239608
54810,0.553060131,36.13040546,0.728961585
54840,0.551000038,36.06054131,0.727163485
54870,0.551564915,35.88947717,0.726617815
54900,0.552543292,35.89890302,0.7240445
54930,0.552120215,35.85504863,0.723125038
54960,0.552846383,35.83050267,0.722848975
54990,0.554144262,35.97363498,0.722822154
55020,0.554848585,36.01799158,0.724768069
55050,0.554620215,35.98104402,0.725640669
55080,0.556242808,35.94393633,0.726299292
55110,0.554406275,35.8991023,0.725822942
55140,0.554841158,35.8642211,0.723266967
55170,0.554088969,35.74188777,0.721597392
55200,0.553000023,35.40546991,0.719647869
55230,0.552024077,35.10290752,0.717358192
55260,0.553211562,35.36701024,0.716775277
55290,0.556838567,35.98262091,0.716256525
55320,0.556988,36.198792,0.7180349
55350,0.557103369,36.16045598,0.720168308
55380,0.555550508,36.10619316,0.720623838
55410,0.555810123,36.05846537,0.720983208
55440,0.555377625,35.9826365,0.720027392
55470,0.553134638,35.58263889,0.719040885
55500,0.549718775,35.0453773,0.7173568
55530,0.549875015,34.60502175,0.717849785
55560,0.552036092,35.1411148,0.716371438
55590,0.5536082,35.96862917,0.716213985
55620,0.55559635,36.20934568,0.718276083
