TheTime,C2H6,CH4,H2O,CH3OH,CH4_A
3558355295,1.378646,1830.561,15320390,-52.28481,1844.187
3558355296,1.350682,1879.188,15363450,-57.99909,1879.296
3558355297,1.322004,1928.554,15331060,-60.08738,1928.474
3558355298,1.266125,1955.896,15301990,-55.72706,1955.819
3558355299,1.260495,1955.896,15278850,-58.03216,1967.51
3558355300,1.363328,2013.452,15331570,-59.26133,2013.594
3558355301,1.328541,2013.452,15351080,-65.41671,1993.628
3558355302,1.361364,2019.455,15324280,-58.99709,2019.387
3558355303,1.37042,2019.455,15296170,-63.47024,2037.683
3558355304,1.249202,2014.884,15403830,-69.65408,2015.165
3558355305,1.416296,2060.053,15338020,-67.48954,2059.882
3558355306,1.316581,2060.053,15425910,-75.84891,2041.292
3558355307,1.288029,2041.292,15383390,-73.38401,2033.391
3558355308,1.294629,2003.933,15417250,-73.75723,2004.019
3558355309,1.423942,2037.2,15271760,-63.33807,2036.819
3558355310,1.298937,2037.2,15309160,-64.34149,2036.005
3558355311,1.300387,2036.005,15292370,-64.27832,2024.694
3558355312,1.347363,1986.524,15265070,-65.33336,1986.45
3558355313,1.336728,1986.524,15268320,-61.61147,1982.006
3558355314,1.385242,1982.005,15329810,-60.43768,1969.857
3558355315,1.396121,1969.857,15233900,-61.74486,1956.047
3558355316,1.502228,1922.845,15241320,-60.83268,1922.861
3558355317,1.47725,1922.845,15254220,-56.00092,1912.319
3558355318,1.435281,1912.319,15246520,-56.59177,1919.961
3558355319,1.465914,1919.961,15195170,-54.98246,1911.129
3558355320,1.580508,1881.816,15173700,-51.98293,1881.76
3558355321,1.580361,1881.816,15197360,-55.06057,1894.441
3558355322,1.593476,1894.441,15196570,-49.87137,1886.279
3558355323,1.737809,1886.279,15173860,-47.50094,1879.807
3558355324,1.731595,1921.579,15185600,-43.60363,1921.612
3558355325,1.762682,1921.579,15150530,-44.58545,1920.054
3558355326,1.767159,1920.054,15175410,-40.88939,1921.787
3558355327,1.78336,1921.787,15112110,-40.15095,1934
3558355328,1.802991,1934,15174620,-38.43532,1941.986
3558355329,1.852777,1941.986,15148870,-37.56465,1932.073
3558355330,1.830128,1932.073,15177790,-38.26074,1934.157
3558355331,1.837353,1934.156,15178220,-39.67054,1937.897
3558355332,1.858447,1937.897,15144560,-36.85266,1935.3
3558355333,1.828234,1935.3,15104360,-35.87671,1935.529
3558355334,1.841668,1935.529,15161920,-34.08732,1954.762
3558355335,1.838146,1954.762,15144310,-29.74563,1935.983
3558355336,1.839308,1935.983,15116540,-34.72676,1939.202
3558355337,1.809046,1939.202,15166640,-35.02299,1928.849
3558355338,1.741002,1928.849,15179470,-34.31936,1942.924
3558355339,1.745338,1942.924,15175210,-34.12851,1952.591
3558355340,1.767185,1924.209,15175280,-34.39591,1924.207
3558355341,1.769861,1902.074,15188520,-34.50348,1902.107
3558355342,1.792904,1902.074,15150270,-32.90563,1906.049
3558355343,1.61564,1906.049,15174260,-34.78218,1889.737
3558355344,1.66093,1925.451,15200680,-35.87046,1925.521
3558355345,1.651093,1867.972,15141720,-37.52561,1867.819
3558355346,1.675344,1887.764,15178300,-35.87901,1887.862
3558355347,1.581982,1887.764,15150900,-36.39547,1899.673
3558355348,1.592293,1853.553,15145510,-37.71434,1853.537
3558355349,1.541116,1853.553,15193550,-34.22404,1836.44
3558355350,1.547275,1865.63,15151700,-34.52522,1865.531
3558355351,1.562132,1842.289,15125650,-34.77789,1842.221
3558355352,1.514929,1842.289,15142500,-39.15618,1859.306
3558355353,1.529203,1859.306,15147270,-35.91757,1847.439
3558355354,1.56713,1847.439,15147000,-36.6117,1854.825
3558355355,1.577649,1833.917,15169710,-37.02699,1833.97
3558355356,1.506472,1833.917,15167820,-40.10368,1837.237
3558355357,1.482829,1837.237,15117850,-40.68535,1846.766
3558355358,1.465929,1846.766,15211580,-45.07642,1838.374
3558355359,1.53121,1880.054,15174400,-45.1226,1879.967
3558355360,1.377149,1854.995,15221560,-41.39604,1855.102
3558355361,1.475308,1854.995,15232810,-45.44385,1855.971
3558355362,1.384607,1855.971,15183870,-45.9781,1874.247
3558355363,1.466929,1894.854,15155500,-45.44283,1894.786
3558355364,1.4818,1920.553,15294070,-49.18435,1920.9
3558355389,1.359104,2119.316,15162020,-65.13863,2118.968
3558355390,1.35668,2119.316,15166020,-62.77606,2109.034
3558355391,1.484286,2109.034,15111160,-62.60241,2091.239
3558355392,1.385154,2091.239,15044150,-63.48905,2100.423
3558355393,1.384965,2067.461,15082990,-65.77926,2067.563
3558355394,1.396153,2067.461,15106140,-60.97837,2050.796
3558355395,1.476721,2050.796,15072470,-60.79902,2070.298
3558355396,1.355063,2045.477,15029920,-63.65969,2045.361
3558355397,1.379301,2045.477,15039130,-63.01909,2053.347
3558355398,1.50739,2005.988,15074600,-62.30239,2006.076
3558355399,1.392612,2005.988,15016810,-58.1876,2019.679
3558355400,1.536201,1989.219,14975030,-59.83032,1989.108
3558355401,1.506735,1989.219,15015300,-60.30711,1994.447
3558355402,1.508302,1994.447,15011960,-59.19291,1990.086
3558355403,1.452718,1952.572,15024480,-59.60847,1952.6
3558355404,1.519374,1952.572,15033780,-56.9397,1948.68
3558355405,1.48328,1977.207,15030460,-60.09341,1977.201
3558355406,1.508724,1944.441,15006670,-56.10032,1944.376
3558355407,1.503589,1968.668,14990710,-58.76436,1968.632
3558355408,1.499316,1968.668,14986300,-58.14842,1954.475
3558355409,1.554553,1929.984,15004390,-55.05281,1930.027
3558355410,1.592902,1929.984,15014240,-54.7433,1911.419
3558355411,1.5657,1911.419,14987290,-52.49613,1913.168
3558355412,1.68036,1890.767,14977010,-51.77311,1890.74
3558355413,1.615508,1952.907,14947250,-49.81163,1952.84
3558355414,1.63949,1916.126,14961980,-48.06322,1916.154
3558355415,1.745083,1916.126,14932710,-46.17768,1909.294
3558355416,1.726796,1909.294,14955590,-46.85161,1926.141
