,Slope (mV ppb-1),Intercept,R_squared value,p_value,Standard Deviation
[VOC] < 50 MOS1,12.3568316696,1551.54070077,0.981677267943,0.0,0.0954850314859
[VOC] < 50 MOS2,16.8734323404,1591.23712594,0.989251820782,0.0,0.0992874206082
[VOC1] 50 - 100 MOS1,4.49334914808,2068.82213285,0.968104015176,4.11265210676e-160,0.0717071236321
[VOC1] 50 - 100 MOS2,6.0671554531,2209.9123016,0.909439096369,3.230398796e-102,0.171063324091
[VOC2] 100 - 150 MOS1,2.62445754969,2332.41506139,0.958041250391,1.44940756379e-167,0.0449601354702
[VOC2] 100 - 150 MOS2,1.99984855789,2718.45958599,0.697117070489,5.49668775046e-46,0.117770026145
[VOC3] 150-200 MOS1,1.44693026486,2650.16023622,0.977737382677,5.97245817729e-86,0.0278860473029
[VOC3] 150-200 MOS2,1.71577203238,2766.58359565,0.922490776509,4.24897778369e-53,0.0644756211409
[VOC4] 200-250 MOS1,,,,,
[VOC4] 200-250 MOS2,,,,,
[VOC5] 250-300 MOS1,,,,,
[VOC5] 250-300 MOS2,,,,,
[VOC6] 300-350 MOS1,,,,,
[VOC6] 300-350 MOS2,,,,,
[VOC7] 350-400 MOS1,,,,,
[VOC7] 350-400 MOS2,,,,,
[VOC8] 400-450 MOS1,,,,,
[VOC8] 400-450 MOS2,,,,,
[VOC9] 450-500 MOS1,,,,,
[VOC9] 450-500 MOS2,,,,,
