,Filename,Pid3 Slope,Pid4 Slope,Pid5 Slope,Pid3 Slope Error,Pid4 Slope Error,Pid5 Slope Error,Pid3 Intercept,Pid4 Intercept,Pid5 Intercept,Pid3 Intercept Error,Pid4 Intercept Error,Pid5 Intercept Error
0,d20150904_02,1.17e-05,1.54e-05,2.96e-05,3e-06,2e-06,1e-06,0.055,0.053,0.055,0.0001,7e-05,5e-05
1,d20150911_02,5.9e-05,1.3e-05,3e-05,3e-05,1e-06,4e-06,0.051,0.053,0.055,0.001,5e-05,0.0002
2,d20150915_02,1.52e-05,8.86e-06,3.04e-05,4e-06,4e-07,4e-06,0.057,0.053,0.055,0.0002,2e-05,0.0002
3,d20150915_03,2.72e-05,1.16e-05,2.87e-05,1e-06,2e-06,5e-06,0.056,0.053,0.055,9e-05,0.0001,0.0003
4,d20150915_04,1.73e-05,8.35e-06,2.44e-05,1e-06,4e-07,3e-06,0.057,0.053,0.056,8e-05,2e-05,0.0002
5,d20150915_05,1.36e-05,5.22e-06,1.5e-05,2e-06,6e-07,4e-06,0.057,0.054,0.056,0.0001,3e-05,0.0002
6,d20150916_02,1.11e-05,8.35e-06,1.3e-05,8e-06,9e-07,5e-06,0.057,0.053,0.056,0.0004,5e-05,0.0003
7,d20150916_03,2.01e-05,9.25e-06,2.13e-05,2e-06,2e-06,7e-06,0.057,0.053,0.056,0.0001,8e-05,0.0004
8,d20150916_04,1.75e-05,6.7e-06,1.79e-05,3e-06,7e-07,6e-06,0.056,0.054,0.056,0.0002,3e-05,0.0003
9,d20150916_05,1.92e-05,6.08e-06,2.76e-05,4e-06,8e-07,7e-06,0.056,0.054,0.055,0.0002,3e-05,0.0003
10,d20150916_06,1.98e-05,8.62e-06,2.55e-05,4e-06,1e-06,7e-06,0.056,0.053,0.056,0.0002,5e-05,0.0004
11,d20150917_02,2.15e-05,1.02e-05,2.16e-05,3e-06,1e-06,5e-06,0.057,0.053,0.056,0.0002,6e-05,0.0003
12,d20150917_04,2.59e-05,7.98e-06,2.98e-05,2e-06,9e-07,5e-06,0.056,0.053,0.055,0.0001,4e-05,0.0003
13,d20150917_05,1.81e-05,7.46e-06,2.77e-05,1e-06,9e-07,8e-06,0.057,0.053,0.055,7e-05,4e-05,0.0004
14,d20150918_02,1.74e-05,6.22e-06,3.13e-05,4e-06,4e-07,4e-06,0.057,0.053,0.055,0.0002,2e-05,0.0002
15,d20150921_02,1.56e-05,9.16e-06,2.51e-05,7e-06,6e-07,6e-06,0.057,0.053,0.055,0.0004,4e-05,0.0003
16,d20150921_03,1.68e-05,7.55e-06,3.33e-05,4e-06,1e-06,5e-06,0.057,0.053,0.055,0.0002,5e-05,0.0003
17,d20150924_02,1.5e-05,6.33e-06,1.72e-05,7e-06,8e-07,5e-06,0.058,0.053,0.056,0.0004,5e-05,0.0003
18,d20150924_03,2.45e-05,6.19e-06,3.66e-05,4e-06,4e-07,1e-05,0.057,0.053,0.055,0.0002,2e-05,0.0004
19,d20150924_04,2.38e-05,8.17e-06,3.11e-05,4e-06,1e-06,6e-06,0.057,0.053,0.055,0.0003,6e-05,0.0003
20,d20150928_02,1.45e-05,7.7e-06,2.28e-05,5e-06,9e-07,5e-06,0.057,0.053,0.055,0.0003,5e-05,0.0003
21,d20150928_03,2.85e-05,1.13e-05,9.32e-06,2e-05,2e-06,1e-05,0.056,0.053,0.056,0.001,0.0001,0.0006
22,d20150929_01,2.22e-05,8.63e-06,2.9e-05,7e-06,2e-06,4e-06,0.058,0.053,0.055,0.0005,0.0001,0.0002
